LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q1,41.1902854524892,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q2,41.5515614957568,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q3,42.1852507705329,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q4,42.9195976573375,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q1,43.7460822625943,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q2,44.8916934334068,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q3,45.916983068598,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q4,46.821184762827,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q1,47.8650930521811,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q2,48.580782897119,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q3,49.4650570594297,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q4,50.5902227224501,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q1,51.7456688911518,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q2,52.7662368292411,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q3,53.6149190066286,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q4,54.5085300968377,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q1,55.7037992799237,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q2,56.9521782162243,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q3,57.8195790448635,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q4,59.1533626345352,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q1,60.8906585320977,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q2,62.9349290315102,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q3,65.5700942693921,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q4,67.0941563646353,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q1,68.3267113191012,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q2,70.7949151305127,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q3,72.858231825683,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q4,74.1484902280075,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q1,75.4127645822463,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q2,76.1152036602644,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q3,75.7874594324097,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q4,74.4330353464776,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q1,72.3772675100261,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q2,71.3420974392489,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q3,73.2520329298738,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q4,76.3637257984743,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q1,78.963014783028,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q2,80.1681835957875,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q3,80.3262961631982,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q4,79.9942764601635,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q1,81.6620486131816,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q2,83.1745995579883,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q3,84.7584461199047,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q4,85.7223241603427,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q1,86.6973353636322,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q2,87.8508532743732,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q3,88.3178841066773,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q4,88.591299477487,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q1,88.9193712393765,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q2,89.6016296556263,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q3,90.379554430736,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q4,91.5993343762659,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q1,93.4001718327166,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q2,94.2950219708158,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q3,95.2005991223532,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q4,96.6405718439764,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q1,98.1267262751242,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q2,98.8261888490606,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q3,100.437778154056,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q4,102.609306721759,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q1,104.730068893489,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q2,108.001870849284,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q3,111.974483389561,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q4,115.085257521398,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q1,118.438152859673,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q2,122.735184272477,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q3,126.208151191728,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q4,125.654392093912,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q1,127.360456035277,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q2,127.954037736319,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q3,128.537079354175,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q4,129.120430365401,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q1,129.570981177857,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q2,129.016687376489,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q3,129.444032109117,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q4,130.944350284622,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2020-Q1,133.297592375692,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2020-Q2,136.431265391631,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2020-Q3,137.26326242569,
CAN,HOUSECOST,NOMINAL,IDX2015,Q,2020-Q4,142.441523567829,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q1,67.910248522908,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q2,69.0106675643362,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q3,70.0646554225818,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2001-Q4,71.16507446401,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q1,72.3537127534852,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q2,73.6862877108266,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q3,75.0931525612601,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2002-Q4,76.5975228963772,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q1,77.9579565636281,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q2,79.211598509559,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q3,80.7716862644952,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2003-Q4,82.6057180002089,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q1,84.4443928542409,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q2,86.5662979256869,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q3,88.8089240734077,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q4,91.0144052745824,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q1,93.2756038955763,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q2,95.7364566042554,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q3,98.2483836144355,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q4,100.319214384381,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q1,101.800369127906,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q2,102.53862494051,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q3,102.715063436604,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q4,103.216520214976,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q1,103.84798430626,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q2,103.587969680437,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q3,102.278610314687,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q4,100.439935460655,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q1,98.1044469465693,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q2,95.3789364937492,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q3,92.9784443232075,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q4,90.2715063436604,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q1,89.7793358019246,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q2,88.4699764361745,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q3,88.0613820241674,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q4,88.00102148603,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q1,87.1745464253793,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q2,86.7473795400991,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q3,85.3358715713473,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q4,84.4954671557418,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q1,82.6382198284368,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q2,81.9510383173339,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q3,82.2389116530662,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q4,82.4107070308419,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q1,82.7589409047116,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q2,84.1193745719625,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q3,85.1501468386168,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q4,86.427004376139,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q1,88.1913893370788,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q2,90.034707309429,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q3,91.4694308697721,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q4,92.3934114151064,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q1,93.5402616397172,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q2,94.4131678835506,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q3,95.4532263868414,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q4,96.7161545694088,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q1,98.0301570534771,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q2,99.3163008276358,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q3,100.593158365158,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2015-Q4,102.060383753729,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q1,103.416174302662,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q2,104.869470336278,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q3,106.46670303776,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2016-Q4,108.170727460563,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q1,109.586878547633,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q2,111.541631359621,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q3,113.28280072897,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2017-Q4,115.116832464683,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q1,117.234094417811,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q2,118.835970237612,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q3,120.242835088045,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2018-Q4,121.826138434573,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q1,123.274791349871,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q2,125.048462547447,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q3,126.288175138423,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2019-Q4,128.43329580146,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2020-Q1,130.717710014045,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2020-Q2,132.064214326342,
