"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q1",35.2318920801953,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q2",36.3587472821076,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q3",38.3182812463166,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q4",39.5651285861095,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q1",41.385792456545,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q2",43.6853261813992,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q3",45.5049578875197,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q4",46.9134813076252,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q1",48.6473760756317,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q2",51.0671454179682,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q3",54.0344456935581,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q4",55.7536594599866,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q1",56.0980050817977,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q2",55.3119384049208,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q3",55.280289457111,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q4",55.8977670561702,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q1",56.3919025899094,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q2",56.5326004290947,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q3",56.4799331624746,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q4",57.2545638185209,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q1",58.4137877116433,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q2",60.2440779993712,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q3",61.451176620133,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q4",62.208957668852,
