Series Description,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis"
Unit:,Percent:_Per_Year
Multiplier:,1
Currency:,NA
Unique Identifier: ,H15/H15/RIFSPBLP_N.M
Time Period,RIFSPBLP_N.M
1985-01,10.61
1985-02,10.50
1985-03,10.50
1985-04,10.50
1985-05,10.31
1985-06,9.78
1985-07,9.50
1985-08,9.50
1985-09,9.50
1985-10,9.50
1985-11,9.50
1985-12,9.50
1986-01,9.50
1986-02,9.50
1986-03,9.10
1986-04,8.83
1986-05,8.50
1986-06,8.50
1986-07,8.16
1986-08,7.90
1986-09,7.50
1986-10,7.50
1986-11,7.50
1986-12,7.50
1987-01,7.50
1987-02,7.50
1987-03,7.50
1987-04,7.75
1987-05,8.14
1987-06,8.25
1987-07,8.25
1987-08,8.25
1987-09,8.70
1987-10,9.07
1987-11,8.78
1987-12,8.75
1988-01,8.75
1988-02,8.51
1988-03,8.50
1988-04,8.50
1988-05,8.84
1988-06,9.00
1988-07,9.29
1988-08,9.84
1988-09,10.00
1988-10,10.00
1988-11,10.05
1988-12,10.50
1989-01,10.50
1989-02,10.93
1989-03,11.50
1989-04,11.50
1989-05,11.50
1989-06,11.07
1989-07,10.98
1989-08,10.50
1989-09,10.50
1989-10,10.50
1989-11,10.50
1989-12,10.50
1990-01,10.11
1990-02,10.00
1990-03,10.00
1990-04,10.00
1990-05,10.00
1990-06,10.00
1990-07,10.00
1990-08,10.00
1990-09,10.00
1990-10,10.00
1990-11,10.00
1990-12,10.00
1991-01,9.52
1991-02,9.05
1991-03,9.00
1991-04,9.00
1991-05,8.50
1991-06,8.50
1991-07,8.50
1991-08,8.50
1991-09,8.20
1991-10,8.00
1991-11,7.58
1991-12,7.21
1992-01,6.50
1992-02,6.50
1992-03,6.50
1992-04,6.50
1992-05,6.50
1992-06,6.50
1992-07,6.02
1992-08,6.00
1992-09,6.00
1992-10,6.00
1992-11,6.00
1992-12,6.00
1993-01,6.00
1993-02,6.00
1993-03,6.00
1993-04,6.00
1993-05,6.00
1993-06,6.00
1993-07,6.00
1993-08,6.00
1993-09,6.00
1993-10,6.00
1993-11,6.00
1993-12,6.00
1994-01,6.00
1994-02,6.00
1994-03,6.06
1994-04,6.45
1994-05,6.99
1994-06,7.25
1994-07,7.25
1994-08,7.51
1994-09,7.75
1994-10,7.75
1994-11,8.15
1994-12,8.50
1995-01,8.50
1995-02,9.00
1995-03,9.00
1995-04,9.00
1995-05,9.00
1995-06,9.00
1995-07,8.80
1995-08,8.75
1995-09,8.75
1995-10,8.75
1995-11,8.75
1995-12,8.65
1996-01,8.50
1996-02,8.25
1996-03,8.25
1996-04,8.25
1996-05,8.25
1996-06,8.25
1996-07,8.25
1996-08,8.25
1996-09,8.25
1996-10,8.25
1996-11,8.25
1996-12,8.25
1997-01,8.25
1997-02,8.25
1997-03,8.30
1997-04,8.50
1997-05,8.50
1997-06,8.50
1997-07,8.50
1997-08,8.50
1997-09,8.50
1997-10,8.50
1997-11,8.50
1997-12,8.50
1998-01,8.50
1998-02,8.50
1998-03,8.50
1998-04,8.50
1998-05,8.50
1998-06,8.50
1998-07,8.50
1998-08,8.50
1998-09,8.49
1998-10,8.12
1998-11,7.89
1998-12,7.75
1999-01,7.75
1999-02,7.75
1999-03,7.75
1999-04,7.75
1999-05,7.75
1999-06,7.75
1999-07,8.00
1999-08,8.06
1999-09,8.25
1999-10,8.25
1999-11,8.37
1999-12,8.50
2000-01,8.50
2000-02,8.73
2000-03,8.83
2000-04,9.00
2000-05,9.24
2000-06,9.50
2000-07,9.50
2000-08,9.50
2000-09,9.50
2000-10,9.50
2000-11,9.50
2000-12,9.50
2001-01,9.05
2001-02,8.50
2001-03,8.32
2001-04,7.80
2001-05,7.24
2001-06,6.98
2001-07,6.75
2001-08,6.67
2001-09,6.28
2001-10,5.53
2001-11,5.10
2001-12,4.84
2002-01,4.75
2002-02,4.75
2002-03,4.75
2002-04,4.75
2002-05,4.75
2002-06,4.75
2002-07,4.75
2002-08,4.75
2002-09,4.75
2002-10,4.75
2002-11,4.35
2002-12,4.25
2003-01,4.25
2003-02,4.25
2003-03,4.25
2003-04,4.25
2003-05,4.25
2003-06,4.22
2003-07,4.00
2003-08,4.00
2003-09,4.00
2003-10,4.00
2003-11,4.00
2003-12,4.00
2004-01,4.00
2004-02,4.00
2004-03,4.00
2004-04,4.00
