Date,Price,Open,High,Low,Vol.,Change %
1/1/2021,"1,850.30","1,901.60","1,962.45","1,803.60",249.72K,-2.36%
12/1/2020,"1,895.10","1,780.30","1,912.00","1,778.40",3.69M,6.41%
11/1/2020,"1,780.90","1,885.30","1,973.30","1,767.20",1.21M,-5.63%
10/1/2020,"1,887.20","1,901.10","1,945.30","1,866.70",110.00K,-0.81%
9/1/2020,"1,902.60","1,983.40","2,008.20","1,858.10",59.32K,-4.22%
8/1/2020,"1,986.50","2,005.90","2,099.20","1,884.00",79.32K,-0.46%
7/1/2020,"1,995.60","1,827.90","2,013.70","1,795.60",67.51K,9.20%
6/1/2020,"1,827.50","1,769.00","1,830.50","1,699.50",36.52K,3.23%
5/1/2020,"1,770.30","1,705.60","1,788.40","1,689.20",19.38K,3.75%
4/1/2020,"1,706.30","1,587.60","1,789.00","1,587.60",12.78K,6.74%
3/1/2020,"1,598.60","1,622.80","1,713.80","1,461.70",12.56K,0.73%
2/1/2020,"1,587.00","1,611.20","1,714.00","1,578.50",12.05K,-1.68%
1/1/2020,"1,614.10","1,556.80","1,635.20","1,556.80",12.48K,3.79%
12/1/2019,"1,555.20","1,493.80","1,541.30","1,493.80",0.67K,3.62%
11/1/2019,"1,500.80","1,529.90","1,529.90","1,487.00",0.70K,-3.03%
10/1/2019,"1,547.70","1,519.40","1,538.80","1,516.50",0.04K,2.77%
9/1/2019,"1,506.00","1,575.80","1,575.80","1,536.70",0.01K,-3.49%
8/1/2019,"1,560.40","1,450.20","1,582.40","1,450.20",0.01K,6.15%
7/1/2019,"1,470.00","1,444.50","1,474.20","1,444.50",0.04K,1.36%
6/1/2019,"1,450.30","1,373.10","1,422.60","1,373.10",0.02K,7.14%
5/1/2019,"1,353.60","1,334.20","1,350.20","1,320.10",0.03K,0.98%
4/1/2019,"1,340.40","1,342.70","1,363.90","1,323.80",0.07K,-0.74%
3/1/2019,"1,350.40","1,350.00","1,368.20","1,342.20",0.19K,-1.81%
2/1/2019,"1,375.30","1,382.60","1,388.00","1,374.00",0.30K,-0.63%
1/1/2019,"1,384.00","1,351.80","1,377.60","1,351.80",0.28K,2.74%
12/1/2018,"1,347.10","1,313.90","1,343.00","1,309.50",0.03K,4.21%
11/1/2018,"1,292.70","1,289.70","1,289.70","1,289.70",0.15K,0.35%
10/1/2018,"1,288.20","1,271.20","1,296.70","1,271.20",0.12K,1.54%
9/1/2018,"1,268.70","1,266.10","1,271.90","1,260.00",0.10K,-0.70%
8/1/2018,"1,277.70","1,308.00","1,308.00","1,265.80",0.07K,-2.45%
7/1/2018,"1,309.80","1,327.00","1,327.00","1,301.90",0.12K,-2.52%
6/1/2018,"1,343.70","1,392.40","1,392.40","1,353.70",0.03K,-3.68%
5/1/2018,"1,395.00","1,413.50","1,413.50","1,405.30",0.10K,-1.70%
4/1/2018,"1,419.10","1,460.10","1,460.10","1,442.00",0.02K,-0.48%
3/1/2018,"1,426.00","1,433.40","1,433.40","1,433.40",0.01K,0.48%
2/1/2018,"1,419.20","1,419.20","1,419.20","1,419.20",9.63K,-1.40%
1/1/2018,"1,439.40","1,399.00","1,399.00","1,398.00",0.00K,3.41%
12/1/2017,"1,391.90","1,327.60","1,372.10","1,327.60",0.08K,2.55%
11/1/2017,"1,357.30","1,382.00","1,382.00","1,382.00",0.13K,0.71%
10/1/2017,"1,347.70","1,353.30","1,382.00","1,351.70",0.01K,-0.73%
9/1/2017,"1,357.60","1,406.60","1,406.60","1,367.30",0.15K,-2.23%
8/1/2017,"1,388.50","1,326.40","1,393.70","1,326.40",0.01K,3.57%
7/1/2017,"1,340.70","1,289.90","1,323.60","1,282.30",0.03K,2.03%
6/1/2017,"1,314.00","1,342.80","1,342.80","1,313.70",0.01K,-2.56%
5/1/2017,"1,348.50","1,326.90","1,340.00","1,303.20",0.06K,0.10%
4/1/2017,"1,347.10","1,333.10","1,378.00","1,333.10",0.01K,1.30%
3/1/2017,"1,329.80","1,307.60","1,344.00","1,294.00",0.09K,-0.34%
2/1/2017,"1,334.30","1,289.00","1,323.90","1,289.00",0.05K,3.29%
1/1/2017,"1,291.80","1,232.40","1,299.60","1,232.40",0.05K,4.64%
12/1/2016,"1,234.50","1,236.70","1,239.00","1,236.70",0.02K,-0.31%
11/1/2016,"1,238.40","1,334.00","1,334.00","1,334.00",0.16K,-7.15%
10/1/2016,"1,333.70","1,333.70","1,333.70","1,333.70",0.00K,-2.68%
9/1/2016,"1,370.40","1,386.70","1,386.70","1,378.00",0.31K,0.18%
8/1/2016,"1,367.90","1,409.90","1,410.70","1,384.40",0.06K,-3.38%
7/1/2016,"1,415.70","1,402.80","1,402.80","1,402.80",0.41K,2.96%
6/1/2016,"1,375.00","1,375.00","1,375.00","1,375.00",0.06K,8.33%
5/1/2016,"1,269.30","1,269.30","1,269.30","1,269.30",0.00K,-5.37%
4/1/2016,"1,341.40","1,341.40","1,341.40","1,341.40",0.30K,4.72%
3/1/2016,"1,280.90","1,304.00","1,304.00","1,269.70",0.01K,0.60%
2/1/2016,"1,273.30","1,220.40","1,269.00","1,220.40",0.01K,9.59%
1/1/2016,"1,161.90","1,161.90","1,161.90","1,161.90",0.00K,3.65%
12/1/2015,"1,121.00","1,121.00","1,121.00","1,121.00",9.97K,-0.26%
11/1/2015,"1,123.90","1,131.00","1,138.40","1,131.00",0.02K,-5.97%
10/1/2015,"1,195.20","1,195.20","1,195.20","1,195.20",0.15K,0.98%
9/1/2015,"1,183.60","1,188.40","1,188.40","1,188.40",0.00K,-2.74%
8/1/2015,"1,216.90","1,216.90","1,216.90","1,216.90",12.82K,2.86%
7/1/2015,"1,183.10","1,268.50","1,268.50","1,268.00",0.00K,-6.90%
6/1/2015,"1,270.80","1,264.00","1,266.80","1,263.00",0.01K,-0.77%
5/1/2015,"1,280.70","1,317.50","1,318.20","1,276.50",0.00K,0.60%
4/1/2015,"1,273.00","1,273.00","1,273.00","1,273.00",7.45K,0.06%
3/1/2015,"1,272.20","1,272.20","1,272.20","1,272.20",42.95K,-2.84%
2/1/2015,"1,309.40","1,367.00","1,367.00","1,323.30",0.00K,-5.43%
1/1/2015,"1,384.60","1,340.00","1,391.10","1,340.00",0.01K,3.68%
12/1/2014,"1,335.40","1,335.40","1,335.40","1,346.70",11.02K,13.63%
11/1/2014,"1,175.20","1,166.40","1,202.40","1,132.90",88.66K,0.35%
10/1/2014,"1,171.10","1,207.70","1,247.00","1,161.40",3.88K,-3.25%
9/1/2014,"1,210.50","1,284.50","1,286.40","1,204.00",8.21K,-5.86%
8/1/2014,"1,285.80","1,284.10","1,322.10","1,272.00",8.89K,0.35%
7/1/2014,"1,281.30","1,326.70","1,343.70","1,280.60",43.10K,-3.06%
6/1/2014,"1,321.80","1,250.00","1,328.70","1,240.50",10.00K,6.12%
5/1/2014,"1,245.60","1,288.70","1,314.20","1,241.80",42.32K,-3.86%
4/1/2014,"1,295.60","1,285.10","1,330.00","1,272.40",7.94K,0.95%
3/1/2014,"1,283.40","1,335.90","1,391.40","1,282.40",70.78K,-2.88%
2/1/2014,"1,321.40","1,242.40","1,344.00","1,241.20",11.52K,6.56%
1/1/2014,"1,240.10","1,204.30","1,269.40","1,204.30",52.67K,3.18%
12/1/2013,"1,201.90","1,251.40","1,267.00","1,182.00",14.56K,-3.89%
11/1/2013,"1,250.60","1,325.70","1,325.70","1,229.00",92.25K,-5.52%
10/1/2013,"1,323.60","1,328.00","1,359.70","1,254.10",2.56K,-0.22%
9/1/2013,"1,326.50","1,393.00","1,414.40","1,292.10",4.59K,-4.99%
8/1/2013,"1,396.10","1,323.00","1,428.00","1,274.00",10.14K,6.38%
7/1/2013,"1,312.40","1,234.70","1,345.10","1,208.90",51.81K,7.24%
6/1/2013,"1,223.80","1,389.10","1,422.70","1,183.20",12.13K,-12.12%
5/1/2013,"1,392.60","1,475.80","1,487.10","1,342.90",53.45K,-5.41%
4/1/2013,"1,472.20","1,596.80","1,602.60","1,323.00",14.30K,-7.69%
3/1/2013,"1,594.80","1,579.60","1,613.10","1,561.80",58.37K,1.08%
2/1/2013,"1,577.70","1,663.90","1,683.40","1,554.50",10.81K,-4.99%
1/1/2013,"1,660.60","1,672.80","1,694.70","1,625.70",51.88K,-0.85%
12/1/2012,"1,674.80","1,714.90","1,722.30","1,635.80",6.82K,-2.11%
11/1/2012,"1,710.90","1,722.30","1,750.50","1,674.30",69.65K,-0.38%
10/1/2012,"1,717.50","1,766.00","1,794.80","1,698.60",2.63K,-3.03%
9/1/2012,"1,771.10","1,689.10","1,785.30","1,687.70",10.33K,5.13%
8/1/2012,"1,684.60","1,613.40","1,690.00","1,583.10",11.42K,4.60%
7/1/2012,"1,610.50","1,597.10","1,627.50","1,557.20",59.61K,0.44%
6/1/2012,"1,603.50","1,560.00","1,639.70","1,545.50",10.99K,2.62%
5/1/2012,"1,562.60","1,665.00","1,670.50","1,528.50",86.46K,-6.06%
4/1/2012,"1,663.40","1,670.40","1,682.80","1,613.00",9.55K,-0.35%
3/1/2012,"1,669.30","1,698.60","1,724.60","1,633.80",61.45K,-2.37%
2/1/2012,"1,709.90","1,738.20","1,790.40","1,669.00",8.89K,-1.61%
1/1/2012,"1,737.80","1,568.90","1,747.70","1,566.00",62.70K,10.98%
12/1/2011,"1,565.80","1,747.00","1,762.90","1,525.00",10.60K,-10.30%
11/1/2011,"1,745.50","1,706.70","1,797.00","1,674.40",81.48K,1.24%
10/1/2011,"1,724.20","1,627.80","1,752.00","1,596.60",2.24K,6.41%
9/1/2011,"1,620.40","1,825.80","1,911.60","1,562.40",10.61K,-11.38%
8/1/2011,"1,828.50","1,623.00","1,909.30","1,607.00",24.85K,12.30%
7/1/2011,"1,628.30","1,502.20","1,634.90","1,480.00",77.74K,8.39%
6/1/2011,"1,502.30","1,535.70","1,558.50","1,490.70",14.69K,-2.19%
5/1/2011,"1,535.90","1,572.90","1,576.60","1,471.00",84.31K,-1.29%
4/1/2011,"1,556.00","1,433.40","1,568.70","1,413.00",15.55K,8.14%
3/1/2011,"1,438.90","1,415.30","1,446.90","1,385.50",58.55K,2.10%
2/1/2011,"1,409.30","1,333.10","1,415.70","1,324.90",13.73K,5.66%
1/1/2011,"1,333.80","1,415.60","1,423.90","1,307.70",88.70K,-6.14%
12/1/2010,"1,421.10","1,386.80","1,431.10","1,362.50",16.14K,2.61%
11/1/2010,"1,385.00","1,360.30","1,423.20","1,327.50",106.91K,2.06%
10/1/2010,"1,357.10","1,309.00","1,383.90","1,309.00",3.17K,3.77%
9/1/2010,"1,307.80","1,252.30","1,315.20","1,239.00",8.09K,4.77%
8/1/2010,"1,248.30","1,181.80","1,249.40","1,174.70",8.71K,5.64%
7/1/2010,"1,181.70","1,241.70","1,242.40","1,158.70",60.70K,-5.12%
6/1/2010,"1,245.50","1,217.00","1,264.80","1,196.90",16.40K,2.75%
5/1/2010,"1,212.20","1,178.60","1,246.50","1,159.20",124.17K,2.72%
4/1/2010,"1,180.10","1,112.90","1,181.30","1,111.30",8.60K,6.00%
3/1/2010,"1,113.30","1,119.30","1,145.00","1,085.50",63.87K,-0.45%
