"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-01,,quarterly,93136,10.06,-0.52,48.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-02,,quarterly,93136,10.06,-0.52,48.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-03,,quarterly,93136,10.06,-0.52,48.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-04,,quarterly,96499,8.15,3.61,50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-05,,quarterly,96499,8.15,3.61,50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-06,,quarterly,96499,8.15,3.61,50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-07,,quarterly,99971,9.96,3.6,52.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-08,,quarterly,99971,9.96,3.6,52.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-09,,quarterly,99971,9.96,3.6,52.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-10,,quarterly,97964,4.63,-2.01,51.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-11,,quarterly,97964,4.63,-2.01,51.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2001-12,,quarterly,97964,4.63,-2.01,51.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-12-01
